run,mode,fold,aug,matched_channel,select,b6_yaw_cmae_deg,p1a_yaw_cmae_deg,delta_yaw_cmae_deg,b6_yaw_within_2bin,p1a_yaw_within_2bin,delta_within_2bin,b6_yaw_coarse90,p1a_yaw_coarse90,delta_coarse90,b6_yaw_hit@30,b6_pitch_mae_deg
image_only_fold0_aug-none,image_only,0,none,C3_image_only,best,94.429,104.459,-10.031,0.0865,0.1333,-0.0468,0.1928,0.3459,-0.1532,0.164,20.593
image_only_fold0_aug-standard,image_only,0,standard,C3_image_only,best,139.714,104.459,35.254,0.0,0.1333,-0.1333,0.0,0.3459,-0.3459,0.0,57.162
image_only_fold1_aug-none,image_only,1,none,C3_image_only,best,64.555,72.135,-7.58,0.0054,0.1027,-0.0973,0.2054,0.4018,-0.1964,0.0054,88.703
image_only_fold1_aug-standard,image_only,1,standard,C3_image_only,best,147.898,72.135,75.763,0.0,0.1027,-0.1027,0.0,0.4018,-0.4018,0.0,57.162
image_only_fold2_aug-none,image_only,2,none,C3_image_only,best,42.5,107.867,-65.367,0.0714,0.0946,-0.0232,0.5714,0.2143,0.3571,0.3571,57.162
image_only_fold2_aug-standard,image_only,2,standard,C3_image_only,best,137.5,107.867,29.633,0.0,0.0946,-0.0946,0.0,0.2143,-0.2143,0.0,57.162
image_only_fold3_aug-none,image_only,3,none,C3_image_only,best,52.165,73.446,-21.281,0.0463,0.1429,-0.0965,0.5483,0.2915,0.2568,0.2046,49.252
image_only_fold3_aug-standard,image_only,3,standard,C3_image_only,best,54.312,73.446,-19.134,0.139,0.1429,-0.0039,0.4247,0.2915,0.1332,0.2085,83.08
image_only_fold4_aug-none,image_only,4,none,C3_image_only,best,47.717,49.295,-1.578,0.1776,0.1429,0.0347,0.6815,0.0,0.6815,0.4537,50.633
image_only_fold4_aug-standard,image_only,4,standard,C3_image_only,best,50.582,49.295,1.286,0.1293,0.1429,-0.0135,0.6448,0.0,0.6448,0.3494,54.134
joint_fold0_aug-none,joint,0,none,C3_joint,best,107.21,100.793,6.417,0.0505,0.1333,-0.0829,0.1568,0.4036,-0.2468,0.1622,14.393
joint_fold0_aug-standard,joint,0,standard,C3_joint,best,157.989,100.793,57.196,0.0,0.1333,-0.1333,0.0,0.4036,-0.4036,0.0,69.351
joint_fold1_aug-none,joint,1,none,C3_joint,best,65.004,75.757,-10.753,0.0,0.1063,-0.1063,0.2,0.2703,-0.0703,0.0378,87.856
joint_fold1_aug-standard,joint,1,standard,C3_joint,best,60.716,75.757,-15.041,0.0739,0.1063,-0.0324,0.1874,0.2703,-0.0829,0.1009,65.026
joint_fold2_aug-none,joint,2,none,C3_joint,best,88.907,95.154,-6.247,0.0483,0.1409,-0.0927,0.3996,0.2625,0.1371,0.1236,13.624
joint_fold2_aug-standard,joint,2,standard,C3_joint,best,123.862,95.154,28.707,0.0077,0.1409,-0.1332,0.0927,0.2625,-0.1699,0.0193,68.493
joint_fold3_aug-none,joint,3,none,C3_joint,best,65.201,88.542,-23.341,0.0077,0.1274,-0.1197,0.305,0.2934,0.0116,0.1042,65.017
joint_fold3_aug-standard,joint,3,standard,C3_joint,best,30.237,88.542,-58.305,0.11,0.1274,-0.0174,0.5618,0.2934,0.2683,0.5251,78.649
joint_fold4_aug-none,joint,4,none,C3_joint,best,37.378,46.718,-9.34,0.2201,0.1409,0.0792,0.7819,0.0,0.7819,0.5521,70.393
joint_fold4_aug-standard,joint,4,standard,C3_joint,best,34.535,46.718,-12.183,0.168,0.1409,0.027,0.8475,0.0,0.8475,0.4807,18.121
ocs_only_fold0_aug-none,ocs_only,0,none,C2_baseline_4dim,best,160.096,75.604,84.492,0.0,0.0667,-0.0667,0.0,0.3423,-0.3423,0.0,46.511
ocs_only_fold1_aug-none,ocs_only,1,none,C2_baseline_4dim,best,127.675,82.324,45.351,0.0,0.0342,-0.0342,0.0,0.4288,-0.4288,0.0,46.342
ocs_only_fold2_aug-none,ocs_only,2,none,C2_baseline_4dim,best,125.609,117.876,7.733,0.0,0.0,0.0,0.0,0.1448,-0.1448,0.0,51.382
ocs_only_fold3_aug-none,ocs_only,3,none,C2_baseline_4dim,best,161.589,37.5,124.089,0.0,0.1429,-0.1429,0.0,0.2857,-0.2857,0.0,46.403
ocs_only_fold4_aug-none,ocs_only,4,none,C2_baseline_4dim,best,144.054,132.954,11.1,0.0,0.0425,-0.0425,0.0,0.0,0.0,0.0,50.853
