run,mode,fold,aug,matched_channel,select,b6_yaw_cmae_deg,p1a_yaw_cmae_deg,delta_yaw_cmae_deg,b6_yaw_within_2bin,p1a_yaw_within_2bin,delta_within_2bin,b6_yaw_coarse90,p1a_yaw_coarse90,delta_coarse90,b6_yaw_hit@30,b6_pitch_mae_deg
image_only_fold0_aug-none,image_only,0,none,C3_image_only,final,111.316,104.459,6.857,0.0,0.1333,-0.1333,0.0126,0.3459,-0.3333,0.0432,20.235
image_only_fold0_aug-standard,image_only,0,standard,C3_image_only,final,130.995,104.459,26.536,0.0,0.1333,-0.1333,0.0,0.3459,-0.3459,0.0,46.578
image_only_fold1_aug-none,image_only,1,none,C3_image_only,final,35.677,72.135,-36.458,0.155,0.1027,0.0523,0.7856,0.4018,0.3838,0.445,13.815
image_only_fold1_aug-standard,image_only,1,standard,C3_image_only,final,114.495,72.135,42.36,0.0072,0.1027,-0.0955,0.0072,0.4018,-0.3946,0.0072,57.162
image_only_fold2_aug-none,image_only,2,none,C3_image_only,final,42.5,107.867,-65.367,0.0714,0.0946,-0.0232,0.5714,0.2143,0.3571,0.3571,57.162
image_only_fold2_aug-standard,image_only,2,standard,C3_image_only,final,137.5,107.867,29.633,0.0,0.0946,-0.0946,0.0,0.2143,-0.2143,0.0,57.162
image_only_fold3_aug-none,image_only,3,none,C3_image_only,final,95.645,73.446,22.199,0.0,0.1429,-0.1429,0.2857,0.2915,-0.0058,0.0985,15.164
image_only_fold3_aug-standard,image_only,3,standard,C3_image_only,final,151.786,73.446,78.34,0.0,0.1429,-0.1429,0.0,0.2915,-0.2915,0.0,57.162
image_only_fold4_aug-none,image_only,4,none,C3_image_only,final,28.037,49.295,-21.259,0.388,0.1429,0.2452,0.9189,0.0,0.9189,0.6216,23.097
image_only_fold4_aug-standard,image_only,4,standard,C3_image_only,final,117.994,49.295,68.699,0.0328,0.1429,-0.11,0.0907,0.0,0.0907,0.0927,88.442
joint_fold0_aug-none,joint,0,none,C3_joint,final,107.21,100.793,6.417,0.0505,0.1333,-0.0829,0.1568,0.4036,-0.2468,0.1622,14.393
joint_fold0_aug-standard,joint,0,standard,C3_joint,final,157.989,100.793,57.196,0.0,0.1333,-0.1333,0.0,0.4036,-0.4036,0.0,69.351
joint_fold1_aug-none,joint,1,none,C3_joint,final,36.11,75.757,-39.647,0.1874,0.1063,0.0811,0.8,0.2703,0.5297,0.4432,13.322
joint_fold1_aug-standard,joint,1,standard,C3_joint,final,149.324,75.757,73.568,0.0216,0.1063,-0.0847,0.0216,0.2703,-0.2486,0.0216,57.162
joint_fold2_aug-none,joint,2,none,C3_joint,final,93.417,95.154,-1.737,0.0811,0.1409,-0.0598,0.3707,0.2625,0.1081,0.1351,12.77
joint_fold2_aug-standard,joint,2,standard,C3_joint,final,137.5,95.154,42.346,0.0,0.1409,-0.1409,0.0,0.2625,-0.2625,0.0,57.162
joint_fold3_aug-none,joint,3,none,C3_joint,final,78.812,88.542,-9.731,0.0965,0.1274,-0.0309,0.2278,0.2934,-0.0656,0.2297,34.484
joint_fold3_aug-standard,joint,3,standard,C3_joint,final,38.077,88.542,-50.465,0.1931,0.1274,0.0656,0.2896,0.2934,-0.0039,0.444,63.191
joint_fold4_aug-none,joint,4,none,C3_joint,final,28.437,46.718,-18.281,0.3224,0.1409,0.1815,0.8263,0.0,0.8263,0.5849,14.871
joint_fold4_aug-standard,joint,4,standard,C3_joint,final,17.022,46.718,-29.696,0.5734,0.1409,0.4324,0.9575,0.0,0.9575,0.7876,11.52
ocs_only_fold0_aug-none,ocs_only,0,none,C2_baseline_4dim,final,112.055,75.604,36.452,0.0,0.0667,-0.0667,0.0,0.3423,-0.3423,0.0,46.339
ocs_only_fold1_aug-none,ocs_only,1,none,C2_baseline_4dim,final,127.675,82.324,45.351,0.0,0.0342,-0.0342,0.0,0.4288,-0.4288,0.0,46.342
ocs_only_fold2_aug-none,ocs_only,2,none,C2_baseline_4dim,final,122.886,117.876,5.01,0.0,0.0,0.0,0.0714,0.1448,-0.0734,0.0,54.024
ocs_only_fold3_aug-none,ocs_only,3,none,C2_baseline_4dim,final,147.704,37.5,110.204,0.0,0.1429,-0.1429,0.0193,0.2857,-0.2664,0.0,46.224
ocs_only_fold4_aug-none,ocs_only,4,none,C2_baseline_4dim,final,144.054,132.954,11.1,0.0,0.0425,-0.0425,0.0,0.0,0.0,0.0,50.853
